id,name,category,occasion,platform,price,quality_rating,delivery_days,color,size,gender,description,image_keyword
47,Embroidered Anarkali Suit,Anarkali Suit,Wedding,Amazon,11574,4.3,4,Pink,XS,Female,Embroidered Anarkali Suit for Wedding occasions.,"anarkali,suit,pink"
48,Zari Work Sharara,Sharara,Wedding,Myntra,3920,4.7,5,Ivory,XS,Female,Zari Work Sharara for Wedding occasions.,"sharara,ivory"
49,Embroidered Gharara,Gharara,Wedding,Manyavar,14079,4.7,6,Ivory,XL,Female,Embroidered Gharara for Wedding occasions.,"gharara,ivory"
50,Zari Work Lehenga Choli,Lehenga Choli,Wedding,Amazon,15065,4.1,2,Peach,XS,Female,Heavy embroidered lehenga choli with dupatta. Rich zari work and mirror embellishment.,"lehenga,choli,peach"
51,Embroidered Sherwani,Sherwani,Wedding,Myntra,6990,4.2,4,Royal Blue,Free Size,Male,Elegant sherwani with intricate embroidery. Perfect for wedding ceremonies.,"sherwani,royal blue"
52,Embroidered Kurta Pajama,Kurta Pajama,Wedding,Amazon,17807,4.6,2,Cream,Free Size,Male,Embroidered Kurta Pajama for Wedding occasions.,"kurta,pajama,cream"
53,Embellished Dhoti,Dhoti,Wedding,Manyavar,18287,4.9,3,Red,Free Size,Male,Embellished Dhoti for Wedding occasions.,"dhoti,red"
54,Sequined Indo-Western Suit,Indo-Western Suit,Wedding,Myntra,6387,4.6,6,Red,Free Size,Male,Sequined Indo-Western Suit for Wedding occasions.,"indo-western,suit,red"
55,Heavy Angavastram,Angavastram,Wedding,Amazon,3829,4.9,2,Deep Purple,XS,Male,Heavy Angavastram for Wedding occasions.,"angavastram,deep purple"
56,Heavy Sherwani,Sherwani,Wedding,Meesho,7776,4.2,5,Gold,Free Size,Male,Elegant sherwani with intricate embroidery. Perfect for wedding ceremonies.,"sherwani,gold"
57,Sequined Kurta Pajama,Kurta Pajama,Wedding,Amazon,7579,4.2,4,Red,XL,Male,Sequined Kurta Pajama for Wedding occasions.,"kurta,pajama,red"
58,Designer Dhoti,Dhoti,Wedding,Meesho,8346,4.2,3,Red,Free Size,Male,Designer Dhoti for Wedding occasions.,"dhoti,red"
59,Embroidered Indo-Western Suit,Indo-Western Suit,Wedding,Amazon,11886,4.7,4,Cream,Free Size,Male,Embroidered Indo-Western Suit for Wedding occasions.,"indo-western,suit,cream"
60,Zari Work Angavastram,Angavastram,Wedding,Amazon,15646,4.5,6,Gold,XL,Male,Zari Work Angavastram for Wedding occasions.,"angavastram,gold"
61,Bridal Sherwani,Sherwani,Wedding,Myntra,9805,4.7,2,Royal Blue,XXL,Male,Elegant sherwani with intricate embroidery. Perfect for wedding ceremonies.,"sherwani,royal blue"
62,Heavy Kurta Pajama,Kurta Pajama,Wedding,Myntra,11511,4.3,4,Red,L,Male,Heavy Kurta Pajama for Wedding occasions.,"kurta,pajama,red"
63,Heavy Dhoti,Dhoti,Wedding,Manyavar,10363,4.0,4,Cream,L,Male,Heavy Dhoti for Wedding occasions.,"dhoti,cream"
64,Designer Indo-Western Suit,Indo-Western Suit,Wedding,Meesho,18061,4.6,8,Deep Purple,S,Male,Designer Indo-Western Suit for Wedding occasions.,"indo-western,suit,deep purple"
65,Zari Work Angavastram,Angavastram,Wedding,Meesho,13506,4.8,6,Maroon,L,Male,Zari Work Angavastram for Wedding occasions.,"angavastram,maroon"
66,Embellished Sherwani,Sherwani,Wedding,Myntra,11713,3.9,7,Ivory,XS,Male,Elegant sherwani with intricate embroidery. Perfect for wedding ceremonies.,"sherwani,ivory"
67,Designer Kurta Pajama,Kurta Pajama,Wedding,Manyavar,13820,3.9,4,Gold,XXL,Male,Designer Kurta Pajama for Wedding occasions.,"kurta,pajama,gold"
68,Bridal Dhoti,Dhoti,Wedding,Meesho,14415,4.5,5,Red,XS,Male,Bridal Dhoti for Wedding occasions.,"dhoti,red"
69,Heavy Indo-Western Suit,Indo-Western Suit,Wedding,Amazon,9282,4.4,6,Pink,S,Male,Heavy Indo-Western Suit for Wedding occasions.,"indo-western,suit,pink"
70,Bridal Angavastram,Angavastram,Wedding,Myntra,10246,4.5,6,Deep Purple,Free Size,Male,Bridal Angavastram for Wedding occasions.,"angavastram,deep purple"
71,Sequined Sherwani,Sherwani,Wedding,Manyavar,15519,5.0,8,Maroon,L,Male,Elegant sherwani with intricate embroidery. Perfect for wedding ceremonies.,"sherwani,maroon"
72,Sequined Kurta Pajama,Kurta Pajama,Wedding,Meesho,9052,4.6,7,Red,XS,Male,Sequined Kurta Pajama for Wedding occasions.,"kurta,pajama,red"
73,Sequined Dhoti,Dhoti,Wedding,Myntra,4884,3.9,6,Ivory,XXL,Male,Sequined Dhoti for Wedding occasions.,"dhoti,ivory"
74,Embellished Indo-Western Suit,Indo-Western Suit,Wedding,Myntra,6763,3.8,5,Deep Purple,M,Male,Embellished Indo-Western Suit for Wedding occasions.,"indo-western,suit,deep purple"
75,Bridal Angavastram,Angavastram,Wedding,Amazon,14495,4.9,6,Gold,XXL,Male,Bridal Angavastram for Wedding occasions.,"angavastram,gold"
76,Bridal Sherwani,Sherwani,Wedding,Myntra,4960,4.8,4,Royal Blue,XXL,Male,Elegant sherwani with intricate embroidery. Perfect for wedding ceremonies.,"sherwani,royal blue"
77,Heavy Kurta Pajama,Kurta Pajama,Wedding,Amazon,6817,4.7,5,Cream,Free Size,Male,Heavy Kurta Pajama for Wedding occasions.,"kurta,pajama,cream"
78,Zari Work Dhoti,Dhoti,Wedding,Manyavar,9212,4.1,6,Maroon,L,Male,Zari Work Dhoti for Wedding occasions.,"dhoti,maroon"
79,Zari Work Indo-Western Suit,Indo-Western Suit,Wedding,Myntra,18494,3.8,6,Pink,Free Size,Male,Zari Work Indo-Western Suit for Wedding occasions.,"indo-western,suit,pink"
80,Heavy Angavastram,Angavastram,Wedding,Meesho,4629,4.4,3,Maroon,L,Male,Heavy Angavastram for Wedding occasions.,"angavastram,maroon"
81,Zari Work Sherwani,Sherwani,Wedding,Amazon,7074,4.5,7,Deep Purple,XS,Male,Elegant sherwani with intricate embroidery. Perfect for wedding ceremonies.,"sherwani,deep purple"
82,Sequined Kurta Pajama,Kurta Pajama,Wedding,Myntra,12707,4.0,4,Cream,XXL,Male,Sequined Kurta Pajama for Wedding occasions.,"kurta,pajama,cream"
83,Bridal Dhoti,Dhoti,Wedding,Meesho,5612,4.6,4,Maroon,M,Male,Bridal Dhoti for Wedding occasions.,"dhoti,maroon"
84,Embroidered Indo-Western Suit,Indo-Western Suit,Wedding,Amazon,16690,4.0,5,Cream,Free Size,Male,Embroidered Indo-Western Suit for Wedding occasions.,"indo-western,suit,cream"
85,Bridal Angavastram,Angavastram,Wedding,Amazon,15895,4.4,4,Red,M,Male,Bridal Angavastram for Wedding occasions.,"angavastram,red"
86,Embellished Sherwani,Sherwani,Wedding,Manyavar,4921,4.6,6,Cream,Free Size,Male,Elegant sherwani with intricate embroidery. Perfect for wedding ceremonies.,"sherwani,cream"
87,Heavy Kurta Pajama,Kurta Pajama,Wedding,Manyavar,18530,4.0,5,Ivory,Free Size,Male,Heavy Kurta Pajama for Wedding occasions.,"kurta,pajama,ivory"
88,Zari Work Dhoti,Dhoti,Wedding,Amazon,14714,3.9,4,Deep Purple,L,Male,Zari Work Dhoti for Wedding occasions.,"dhoti,deep purple"
89,Embroidered Indo-Western Suit,Indo-Western Suit,Wedding,Manyavar,5464,4.9,7,Deep Purple,S,Male,Embroidered Indo-Western Suit for Wedding occasions.,"indo-western,suit,deep purple"
90,Embellished Angavastram,Angavastram,Wedding,Meesho,16784,4.6,7,Red,XS,Male,Embellished Angavastram for Wedding occasions.,"angavastram,red"
91,Designer Sherwani,Sherwani,Wedding,Meesho,17609,4.2,8,Ivory,L,Male,Elegant sherwani with intricate embroidery. Perfect for wedding ceremonies.,"sherwani,ivory"
92,Designer Kurta Pajama,Kurta Pajama,Wedding,Meesho,7749,4.7,4,Deep Purple,S,Male,Designer Kurta Pajama for Wedding occasions.,"kurta,pajama,deep purple"
93,Embellished Dhoti,Dhoti,Wedding,Manyavar,10522,4.3,4,Red,Free Size,Male,Embellished Dhoti for Wedding occasions.,"dhoti,red"
94,Designer Indo-Western Suit,Indo-Western Suit,Wedding,Myntra,4778,5.0,5,Ivory,L,Male,Designer Indo-Western Suit for Wedding occasions.,"indo-western,suit,ivory"
95,Zari Work Angavastram,Angavastram,Wedding,Meesho,11769,4.7,4,Cream,XS,Male,Zari Work Angavastram for Wedding occasions.,"angavastram,cream"
96,Embroidered Sherwani,Sherwani,Wedding,Myntra,13256,4.3,5,Red,L,Male,Elegant sherwani with intricate embroidery. Perfect for wedding ceremonies.,"sherwani,red"
97,Sequined Kurta Pajama,Kurta Pajama,Wedding,Myntra,6506,4.3,3,Cream,XL,Male,Sequined Kurta Pajama for Wedding occasions.,"kurta,pajama,cream"
98,Bridal Dhoti,Dhoti,Wedding,Myntra,6829,5.0,2,Pink,XS,Male,Bridal Dhoti for Wedding occasions.,"dhoti,pink"
99,Heavy Indo-Western Suit,Indo-Western Suit,Wedding,Amazon,15214,4.2,6,Royal Blue,M,Male,Heavy Indo-Western Suit for Wedding occasions.,"indo-western,suit,royal blue"
100,Bridal Angavastram,Angavastram,Wedding,Manyavar,18129,4.2,8,Pink,XXL,Male,Bridal Angavastram for Wedding occasions.,"angavastram,pink"
101,Traditional Salwar Kameez,Salwar Kameez,Festive,Manyavar,3720,3.8,2,Orange,Free Size,Female,Comfortable salwar kameez set for festive celebrations. Embroidered detailing.,"salwar,kameez,orange"
102,Embroidered Kurti,Kurti,Festive,Myntra,3346,4.7,5,Magenta,XL,Female,Embroidered Kurti for Festive occasions.,"kurti,magenta"
103,Traditional Anarkali,Anarkali,Festive,Myntra,3788,4.0,5,Purple,Free Size,Female,Traditional Anarkali for Festive occasions.,"anarkali,purple"
104,Printed Light Saree,Light Saree,Festive,Meesho,2866,4.4,8,Green,XL,Female,Printed Light Saree for Festive occasions.,"light,saree,green"
105,Printed Salwar Kameez,Salwar Kameez,Festive,Myntra,3648,4.4,2,Red,Free Size,Female,Comfortable salwar kameez set for festive celebrations. Embroidered detailing.,"salwar,kameez,red"
106,Traditional Kurti,Kurti,Festive,Manyavar,4240,4.5,8,Orange,M,Female,Traditional Kurti for Festive occasions.,"kurti,orange"
107,Colorful Anarkali,Anarkali,Festive,Meesho,1060,4.3,6,Magenta,XS,Female,Colorful Anarkali for Festive occasions.,"anarkali,magenta"
108,Traditional Light Saree,Light Saree,Festive,Manyavar,3375,4.9,8,Pink,XL,Female,Traditional Light Saree for Festive occasions.,"light,saree,pink"
109,Colorful Salwar Kameez,Salwar Kameez,Festive,Myntra,3798,3.9,6,Red,S,Female,Comfortable salwar kameez set for festive celebrations. Embroidered detailing.,"salwar,kameez,red"
110,Vibrant Kurti,Kurti,Festive,Myntra,1540,4.3,6,Red,L,Female,Vibrant Kurti for Festive occasions.,"kurti,red"
111,Printed Anarkali,Anarkali,Festive,Amazon,1290,4.4,5,Yellow,Free Size,Female,Printed Anarkali for Festive occasions.,"anarkali,yellow"
112,Printed Light Saree,Light Saree,Festive,Myntra,1982,4.5,8,Red,Free Size,Female,Printed Light Saree for Festive occasions.,"light,saree,red"
113,Festive Salwar Kameez,Salwar Kameez,Festive,Meesho,2477,4.0,3,Green,XS,Female,Comfortable salwar kameez set for festive celebrations. Embroidered detailing.,"salwar,kameez,green"
114,Vibrant Kurti,Kurti,Festive,Manyavar,5414,4.7,7,Green,XL,Female,Vibrant Kurti for Festive occasions.,"kurti,green"
115,Embroidered Anarkali,Anarkali,Festive,Manyavar,5788,4.0,2,Red,L,Female,Embroidered Anarkali for Festive occasions.,"anarkali,red"
116,Vibrant Light Saree,Light Saree,Festive,Myntra,5254,4.3,4,Red,XS,Female,Vibrant Light Saree for Festive occasions.,"light,saree,red"
117,Embroidered Salwar Kameez,Salwar Kameez,Festive,Myntra,5712,4.7,5,Green,Free Size,Female,Comfortable salwar kameez set for festive celebrations. Embroidered detailing.,"salwar,kameez,green"
118,Vibrant Kurti,Kurti,Festive,Manyavar,2892,4.0,8,Pink,L,Female,Vibrant Kurti for Festive occasions.,"kurti,pink"
119,Colorful Anarkali,Anarkali,Festive,Amazon,5327,4.4,2,Yellow,S,Female,Colorful Anarkali for Festive occasions.,"anarkali,yellow"
120,Vibrant Light Saree,Light Saree,Festive,Manyavar,5924,4.5,6,Green,XXL,Female,Vibrant Light Saree for Festive occasions.,"light,saree,green"
121,Embroidered Salwar Kameez,Salwar Kameez,Festive,Myntra,1472,3.8,5,Purple,L,Female,Comfortable salwar kameez set for festive celebrations. Embroidered detailing.,"salwar,kameez,purple"
122,Embroidered Kurti,Kurti,Festive,Myntra,1635,4.7,8,Yellow,L,Female,Embroidered Kurti for Festive occasions.,"kurti,yellow"
123,Festive Anarkali,Anarkali,Festive,Myntra,1172,4.7,5,Pink,L,Female,Festive Anarkali for Festive occasions.,"anarkali,pink"
124,Embroidered Light Saree,Light Saree,Festive,Amazon,1297,4.2,6,Purple,XS,Female,Embroidered Light Saree for Festive occasions.,"light,saree,purple"
125,Festive Salwar Kameez,Salwar Kameez,Festive,Myntra,1722,4.4,6,Green,L,Female,Comfortable salwar kameez set for festive celebrations. Embroidered detailing.,"salwar,kameez,green"
126,Festive Kurti,Kurti,Festive,Manyavar,4641,3.9,2,Green,S,Female,Festive Kurti for Festive occasions.,"kurti,green"
127,Traditional Anarkali,Anarkali,Festive,Amazon,3842,4.7,7,Green,S,Female,Traditional Anarkali for Festive occasions.,"anarkali,green"
128,Traditional Light Saree,Light Saree,Festive,Myntra,4848,3.9,7,Orange,S,Female,Traditional Light Saree for Festive occasions.,"light,saree,orange"
129,Embroidered Salwar Kameez,Salwar Kameez,Festive,Meesho,1385,4.2,2,Yellow,M,Female,Comfortable salwar kameez set for festive celebrations. Embroidered detailing.,"salwar,kameez,yellow"
130,Festive Kurti,Kurti,Festive,Meesho,1374,4.2,3,Red,M,Female,Festive Kurti for Festive occasions.,"kurti,red"
131,Printed Anarkali,Anarkali,Festive,Amazon,3349,4.8,6,Orange,XL,Female,Printed Anarkali for Festive occasions.,"anarkali,orange"
132,Embroidered Light Saree,Light Saree,Festive,Manyavar,1322,4.6,2,Magenta,S,Female,Embroidered Light Saree for Festive occasions.,"light,saree,magenta"
133,Festive Salwar Kameez,Salwar Kameez,Festive,Manyavar,1576,4.6,7,Pink,XL,Female,Comfortable salwar kameez set for festive celebrations. Embroidered detailing.,"salwar,kameez,pink"
134,Vibrant Kurti,Kurti,Festive,Meesho,1973,3.8,7,Red,M,Female,Vibrant Kurti for Festive occasions.,"kurti,red"
135,Embroidered Anarkali,Anarkali,Festive,Amazon,5360,4.2,4,Turquoise,S,Female,Embroidered Anarkali for Festive occasions.,"anarkali,turquoise"
136,Traditional Light Saree,Light Saree,Festive,Manyavar,1625,4.2,2,Orange,XXL,Female,Traditional Light Saree for Festive occasions.,"light,saree,orange"
137,Vibrant Salwar Kameez,Salwar Kameez,Festive,Myntra,1507,4.9,5,Turquoise,XXL,Female,Comfortable salwar kameez set for festive celebrations. Embroidered detailing.,"salwar,kameez,turquoise"
138,Printed Kurti,Kurti,Festive,Manyavar,5560,4.9,8,Yellow,L,Female,Printed Kurti for Festive occasions.,"kurti,yellow"
139,Embroidered Anarkali,Anarkali,Festive,Manyavar,5935,4.5,4,Turquoise,Free Size,Female,Embroidered Anarkali for Festive occasions.,"anarkali,turquoise"
140,Printed Light Saree,Light Saree,Festive,Meesho,5985,4.1,6,Purple,M,Female,Printed Light Saree for Festive occasions.,"light,saree,purple"
141,Colorful Salwar Kameez,Salwar Kameez,Festive,Manyavar,3800,4.1,2,Turquoise,M,Female,Comfortable salwar kameez set for festive celebrations. Embroidered detailing.,"salwar,kameez,turquoise"
142,Colorful Kurti,Kurti,Festive,Myntra,4330,4.8,7,Purple,S,Female,Colorful Kurti for Festive occasions.,"kurti,purple"
143,Printed Anarkali,Anarkali,Festive,Manyavar,3991,4.4,2,Orange,XXL,Female,Printed Anarkali for Festive occasions.,"anarkali,orange"
144,Vibrant Light Saree,Light Saree,Festive,Myntra,5076,4.4,8,Magenta,XXL,Female,Vibrant Light Saree for Festive occasions.,"light,saree,magenta"
145,Traditional Salwar Kameez,Salwar Kameez,Festive,Myntra,2549,4.6,2,Yellow,XS,Female,Comfortable salwar kameez set for festive celebrations. Embroidered detailing.,"salwar,kameez,yellow"
146,Printed Kurti,Kurti,Festive,Myntra,4555,4.1,5,Turquoise,XXL,Female,Printed Kurti for Festive occasions.,"kurti,turquoise"
147,Embroidered Anarkali,Anarkali,Festive,Myntra,2371,4.1,5,Red,M,Female,Embroidered Anarkali for Festive occasions.,"anarkali,red"
148,Printed Light Saree,Light Saree,Festive,Meesho,1038,4.7,7,Yellow,S,Female,Printed Light Saree for Festive occasions.,"light,saree,yellow"
149,Printed Salwar Kameez,Salwar Kameez,Festive,Amazon,1529,4.7,7,Magenta,M,Female,Comfortable salwar kameez set for festive celebrations. Embroidered detailing.,"salwar,kameez,magenta"
150,Festive Kurti,Kurti,Festive,Meesho,2962,4.4,8,Red,L,Female,Festive Kurti for Festive occasions.,"kurti,red"
151,Vibrant Kurta Pajama,Kurta Pajama,Festive,Manyavar,1441,4.4,4,Orange,XL,Male,Vibrant Kurta Pajama for Festive occasions.,"kurta,pajama,orange"
152,Traditional Kurta,Kurta,Festive,Myntra,5350,4.4,7,Yellow,XXL,Male,Traditional Kurta for Festive occasions.,"kurta,yellow"
153,Colorful Pathani Suit,Pathani Suit,Festive,Manyavar,2691,4.3,4,Turquoise,L,Male,"Traditional Pathani suit, popular during Eid celebrations.","pathani,suit,turquoise"
154,Vibrant Nehru Jacket,Nehru Jacket,Festive,Meesho,4923,4.8,7,Turquoise,Free Size,Male,Vibrant Nehru Jacket for Festive occasions.,"nehru,jacket,turquoise"
155,Colorful Kurta Pajama,Kurta Pajama,Festive,Manyavar,5518,3.8,7,Yellow,Free Size,Male,Colorful Kurta Pajama for Festive occasions.,"kurta,pajama,yellow"
156,Printed Kurta,Kurta,Festive,Meesho,5574,4.8,5,Green,S,Male,Printed Kurta for Festive occasions.,"kurta,green"
157,Traditional Pathani Suit,Pathani Suit,Festive,Manyavar,5115,4.3,6,Magenta,XL,Male,"Traditional Pathani suit, popular during Eid celebrations.","pathani,suit,magenta"
158,Festive Nehru Jacket,Nehru Jacket,Festive,Manyavar,5698,4.3,3,Turquoise,XS,Male,Festive Nehru Jacket for Festive occasions.,"nehru,jacket,turquoise"
159,Colorful Kurta Pajama,Kurta Pajama,Festive,Amazon,4208,4.0,3,Purple,XXL,Male,Colorful Kurta Pajama for Festive occasions.,"kurta,pajama,purple"
160,Traditional Kurta,Kurta,Festive,Myntra,5384,4.0,2,Orange,XXL,Male,Traditional Kurta for Festive occasions.,"kurta,orange"
161,Colorful Pathani Suit,Pathani Suit,Festive,Meesho,1993,3.8,2,Turquoise,L,Male,"Traditional Pathani suit, popular during Eid celebrations.","pathani,suit,turquoise"
162,Colorful Nehru Jacket,Nehru Jacket,Festive,Meesho,3008,3.9,4,Green,XS,Male,Colorful Nehru Jacket for Festive occasions.,"nehru,jacket,green"
163,Traditional Kurta Pajama,Kurta Pajama,Festive,Amazon,3372,4.4,6,Purple,L,Male,Traditional Kurta Pajama for Festive occasions.,"kurta,pajama,purple"
164,Printed Kurta,Kurta,Festive,Myntra,2641,4.5,7,Green,M,Male,Printed Kurta for Festive occasions.,"kurta,green"
165,Printed Pathani Suit,Pathani Suit,Festive,Manyavar,5710,4.0,2,Green,L,Male,"Traditional Pathani suit, popular during Eid celebrations.","pathani,suit,green"
